"Date,Open,High,Low,Close,AdjClose,Volume,return,volatility_20d,return_z"
"2018-10-31,25008.82,25336.55,25008.82,25115.76,25115.76,448930000.0,0.009693406618145994,0.01393361809674945,0.6907461674126568"
"2018-11-01,25142.08,25396.47,25108.11,25380.74,25380.74,383970000.0,0.010550347670148286,0.01422227007951714,0.7542194849481112"
"2018-11-02,25443.6,25578.98,25078.72,25270.83,25270.83,429480000.0,-0.004330448994000924,0.014192226187705676,-0.347995807033895"
"2018-11-05,25261.47,25507.35,25261.47,25461.7,25461.7,334740000.0,0.007552977088603807,0.014338500907072688,0.5322053169382286"
"2018-11-06,25452.83,25651.86,25444.9,25635.01,25635.01,265450000.0,0.006806693975657474,0.014468762933525331,0.4769283934103973"
"2018-11-07,25788.46,26200.14,25765.88,26180.3,26180.3,361780000.0,0.021271300459800857,0.013477000725350694,1.5483166274647628"
"2018-11-08,26139.59,26277.82,26081.9,26191.22,26191.22,295650000.0,0.0004171075197763052,0.012397136094104939,0.0036540076323431235"
"2018-11-09,26149.11,26161.49,25882.91,25989.3,25989.3,324450000.0,-0.007709453778785513,0.012392383943689633,-0.598277484119285"
"2018-11-12,25959.33,25966.71,25340.51,25387.18,25387.18,346910000.0,-0.02316799605991693,0.01352472741469882,-1.7432861875217662"
"2018-11-13,25321.21,25511.03,25193.78,25286.49,25286.49,339690000.0,-0.00396617505370811,0.01257772436689729,-0.3210141664320451"
"2018-11-14,25388.08,25501.29,24935.82,25080.5,25080.5,384240000.0,-0.008146247264843809,0.012669776698377069,-0.6306306215646389"
"2018-11-15,25061.48,25354.56,24787.79,25289.27,25289.27,392750000.0,0.00832399673052775,0.012531440194629533,0.5893144663290316"
"2018-11-16,25242.35,25510.23,25147.8,25413.22,25413.22,354460000.0,0.004901288174787188,0.012568543803581049,0.3357956665443572"
"2018-11-19,25392.61,25392.61,24900.98,25017.44,25017.44,358090000.0,-0.015573784038386385,0.013005562568830486,-1.1807856165106294"
"2018-11-20,24618.68,24707.26,24368.98,24465.64,24465.64,445920000.0,-0.022056613306557282,0.01384746228259658,-1.6609664640791835"
"2018-11-21,24541.65,24669.79,24463.28,24464.69,24464.69,289370000.0,-3.8829967252018704e-05,0.012768641640813485,-0.030117119124679757"
"2018-11-23,24336.4,24408.8,24268.74,24285.95,24285.95,155940000.0,-0.007306039847633339,0.012245693898701717,-0.5683967583792613"
"2018-11-26,24364.13,24673.29,24364.13,24640.24,24640.24,306280000.0,0.014588270172671836,0.012476541338131013,1.0533069619541124"
"2018-11-27,24557.02,24750.73,24416.03,24748.73,24748.73,308250000.0,0.004402960360775587,0.012287337313200555,0.298884703413812"
"2018-11-28,24832.84,25368.93,24832.84,25366.43,25366.43,362160000.0,0.024958856474655455,0.01291020334991883,1.8214525839156097"
"2018-11-29,25343.65,25479.04,25202.79,25338.84,25338.84,305110000.0,-0.001087657979463419,0.012754830287286557,-0.10780343524131694"
"2018-11-30,25307.14,25549.71,25250.97,25538.46,25538.46,482250000.0,0.007878024408378481,0.012657848150041442,0.5562814557740317"
"2018-12-03,25779.57,25980.21,25670.51,25826.43,25826.43,388480000.0,0.01127593441421304,0.012831646446543183,0.8079634358277283"
"2018-12-04,25752.56,25773.12,25008.11,25027.07,25027.07,418900000.0,-0.030951238711660944,0.014590884743690666,-2.3197881897718795"
"2018-12-06,24737.42,24951.01,24242.22,24947.67,24947.67,471690000.0,-0.0031725647468920926,0.014488818046943837,-0.26223173456436544"
"2018-12-07,24918.82,25095.62,24284.78,24388.95,24388.95,398230000.0,-0.022395678634517635,0.014202460710380472,-1.6860809117726439"
"2018-12-10,24360.95,24500.81,23881.37,24423.26,24423.26,389690000.0,0.0014067846299246067,0.014218326834714756,0.07695903756787484"
"2018-12-11,24719.91,24791.26,24221.06,24370.24,24370.24,342960000.0,-0.002170881364731647,0.014183701453249872,-0.1880374043507537"
"2018-12-12,24509.09,24828.29,24509.09,24527.27,24527.27,344330000.0,0.006443514713027065,0.01350976974715762,0.4500278351918718"
"2018-12-13,24575.86,24740.96,24473.29,24597.38,24597.38,299970000.0,0.0028584510220663883,0.013533938127221179,0.1844834485511829"
"2018-12-14,24408.04,24431.14,24033.79,24100.51,24100.51,416940000.0,-0.02020011887444939,0.014111264154769324,-1.523456584821267"
"2018-12-17,23986.83,24088.08,23456.88,23592.98,23592.98,466740000.0,-0.02105889045501519,0.014515040859292453,-1.5870654889533695"
"2018-12-18,23769.13,23927.77,23516.02,23675.64,23675.64,408070000.0,0.003503584540825333,0.01447646059555231,0.23226825777845986"
"2018-12-19,23693.33,24057.34,23162.64,23323.66,23323.66,503550000.0,-0.014866757561780797,0.014446088591271337,-1.1284164180101004"
"2018-12-20,23224.12,23282.2,22644.31,22859.6,22859.6,576700000.0,-0.01989653424891291,0.014306661609074931,-1.5009701800790332"
"2018-12-21,22871.74,23254.59,22396.34,22445.37,22445.37,900510000.0,-0.01812061453393754,0.014657328217682073,-1.3694284413296518"
"2018-12-24,22317.28,22339.87,21792.2,21792.2,21792.2,308420000.0,-0.02910043363063286,0.015675554755044747,-2.1826997187156305"
"2018-12-26,21857.73,22878.92,21712.53,22878.45,22878.45,433080000.0,0.049845816393021325,0.019535474122673847,3.66482081291993"
"2018-12-27,22629.06,23138.89,22267.42,23138.82,23138.82,407940000.0,0.01138057866682396,0.0197456363268397,0.8157143982290668"
"2018-12-28,23213.61,23381.88,22981.33,23062.4,23062.4,336510000.0,-0.0033026748987199372,0.01860470358731656,-0.2718689470216966"
"2018-12-31,23153.94,23333.18,23118.3,23327.46,23327.46,288830000.0,0.011493166366032925,0.01893891363081807,0.8240537288817169"
"2019-01-02,23058.61,23413.47,22928.59,23346.24,23346.24,321570000.0,0.0008050597879067922,0.018771573077734506,0.032389493516826455"
"2019-01-03,23176.39,23176.39,22638.41,22686.22,22686.22,424240000.0,-0.028270933563605993,0.019122845917899655,-2.1212589451326"
"2019-01-04,22894.92,23518.64,22894.92,23433.16,23433.16,396020000.0,0.032924832783954194,0.020096361254719322,2.411489602889785"
"2019-01-07,23474.26,23687.74,23301.59,23531.35,23531.35,334200000.0,0.004190215916248574,0.02016219051922257,0.28312679842161326"
"2019-01-08,23680.32,23864.65,23581.45,23787.45,23787.45,317420000.0,0.010883353483756908,0.01982389104063828,0.7788851065786127"
"2019-01-09,23844.27,24084.71,23703.16,23879.12,23879.12,324570000.0,0.0038537127771156587,0.019847470314070293,0.25820213113912716"
"2019-01-10,23811.11,24014.78,23703.25,24001.92,24001.92,338150000.0,0.005142568067834974,0.019890928610339687,0.35366718201273"
"2019-01-11,23940.01,23996.32,23798.16,23995.95,23995.95,262650000.0,-0.00024873010159176534,0.019822826634154463,-0.045664347077584086"
"2019-01-14,23880.53,23964.9,23765.24,23909.84,23909.84,277560000.0,-0.003588522229793001,0.019810749122865595,-0.2930415567005876"
"2019-01-15,23914.11,24099.14,23887.93,24065.59,24065.59,291570000.0,0.006514054464605401,0.019359964283701087,0.45525268938731744"
"2019-01-16,24139.91,24288.61,24119.72,24207.16,24207.16,302830000.0,0.005882673144518735,0.018737214839513076,0.40848650060201447"
"2019-01-17,24147.09,24474.46,24088.9,24370.1,24370.1,288590000.0,0.006731066345659675,0.018769691300972304,0.4713266818783288"
"2019-01-18,24534.19,24750.22,24459.03,24706.35,24706.35,372970000.0,0.01379764547539808,0.018538081602718266,0.9947456731184652"
"2019-01-22,24607.76,24607.76,24244.31,24404.48,24404.48,338480000.0,-0.012218316343773905,0.01811257702816816,-0.9322473232844488"
"2019-01-23,24577.25,24700.98,24307.17,24575.62,24575.62,318600000.0,0.007012646858281624,0.017396429749955176,0.49218324983908646"
"2019-01-24,24579.96,24626.3,24422.73,24553.24,24553.24,320170000.0,-0.0009106586120715132,0.015559941789303004,-0.09469315534074457"
"2019-01-25,24687.21,24860.15,24676.75,24737.2,24737.2,376890000.0,0.007492290223204634,0.011694186045108945,0.5277102625016221"
"2019-01-28,24596.98,24596.98,24323.94,24528.22,24528.22,347170000.0,-0.00844800543311286,0.011872751972914096,-0.65298174126967"
"2019-01-29,24519.62,24674.87,24504.04,24579.96,24579.96,330870000.0,0.002109407042174105,0.011783196424938937,0.12900202859512708"
"2019-01-30,24826.52,25109.62,24790.9,25014.86,25014.86,397330000.0,0.01769327533486642,0.012088871604814892,1.283293584894747"
"2019-01-31,24954.48,25049.62,24842.09,24999.67,24999.67,507350000.0,-0.0006072390571045805,0.01210996289227941,-0.07221897731661733"
"2019-02-01,25025.31,25193.15,24982.49,25063.89,25063.89,372090000.0,0.002568833908607626,0.009543508491417092,0.1630316124379323"
"2019-02-04,25062.12,25239.91,24977.67,25239.37,25239.37,298540000.0,0.007001307458658568,0.006970272827103142,0.4913433445605916"
"2019-02-05,25287.93,25427.32,25287.65,25411.52,25411.52,310650000.0,0.006820693226494923,0.00700390041925947,0.4779653129179733"
"2019-02-06,25371.57,25439.04,25312.06,25390.3,25390.3,247590000.0,-0.0008350543375603703,0.006875656188090958,-0.08909317374122773"
"2019-02-07,25265.81,25314.26,25000.52,25169.53,25169.53,295460000.0,-0.008695052835137829,0.0073757170525991355,-0.6712804540672429"
"2019-02-08,25042.36,25106.39,24883.04,25106.33,25106.33,248210000.0,-0.0025109725926545368,0.007438453462384146,-0.21322784008788354"
"2019-02-11,25142.81,25196.75,25009.1,25053.11,25053.11,241700000.0,-0.002119784134120839,0.007483534759856415,-0.1842526507365302"
"2019-02-12,25152.03,25458.98,25152.03,25425.76,25425.76,278110000.0,0.01487440082289182,0.00786305099089722,1.0745005569809856"
"2019-02-13,25480.86,25625.95,25480.86,25543.27,25543.27,263330000.0,0.0046216907577198985,0.007831224824429356,0.31508598576277"
"2019-02-14,25460.65,25558.9,25308.09,25439.39,25439.39,313010000.0,-0.004066824646961842,0.00795438863805371,-0.3284692458420947"
